clip_id,category_zh,category,source_dataset,source_url,audio_license,audio_license_url,sha256
ACT-012,动作表演,action_performance,Clotho validation / Freesound preview,https://freesound.org/people/earthsounds/sounds/101473,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,70f860c13e330791f147be16d5edf4e8c3c2e47eaf621a736dcff7a781c6b304
EMO-011,情绪表演类,emotion_performance,RAVDESS,,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,8df471025c5bd83dbc5b528b7de79715a33d695c73279872aae8cbed4c2d1487
MUS-014,音乐,music,FMA-small,https://github.com/mdeff/fma,Attribution-Share Alike 3.0 United States,https://creativecommons.org/licenses/by-sa/3.0/us/,3b5a83a8270195cc6e5dc6f03211eae8b764a77c4a8155ad52374b5377cf9193
SFX-005,音效,sound_effect,Clotho validation / Freesound preview,https://freesound.org/people/jcarrascovazquez/sounds/184072,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,efb3b0a982f83440f2e7ca35447f6118a3a7eaec9f093d3565594668ba796652
SPK-008,角色对白、旁白,dialogue_narration,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,3a0609bad741d693bdb529e5257fa258e60a79bcf7293b775b76d3f1917a280e
STM-I-004,人声、乐器单轨,instrument_stem_candidate,FMA-small,https://github.com/mdeff/fma,Attribution,https://freemusicarchive.org/License_Guide,2ca7b260246a70a3685eca7a341189d865deb901edde933c639193e309cedfb0
ACT-015,动作表演,action_performance,Clotho validation / Freesound preview,https://freesound.org/people/Geissler/sounds/69598,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,ff24479ebb511bae68dbe3bdfaf2ae31bc70ec389d6c41838ddd83f010db747d
EMO-015,情绪表演类,emotion_performance,RAVDESS,,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,331db7a922eebee28056136236d5828c03c9385024d4819edd412c003e37bf7d
MUS-016,音乐,music,FMA-small,https://github.com/mdeff/fma,Attribution-ShareAlike,https://freemusicarchive.org/License_Guide,25edcefab40cde899de63c4b8eadd71bc356cfcebb84de79f86b1c6edd9357b8
SFX-009,音效,sound_effect,Clotho validation / Freesound preview,https://freesound.org/people/nikitralala/sounds/239945,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,154da054a5ca7ce67bcc261ed65acbaff8a41fcc0e4f6639703237262876fb24
SPK-010,角色对白、旁白,dialogue_narration,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0f9ccea3859747d9b4e06e02c779c15df391f522808373f360d0df04287a2d6f
STM-V-001,人声、乐器单轨,vocal_stem,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,fb4809305c8c3402e8b823b0477b3c89418f1f611d87a3e6facfb3a36e61fc1f
ACT-019,动作表演,action_performance,Clotho validation / Freesound preview,https://freesound.org/people/Agonda/sounds/210589,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,719c5f9e37868f8adcfdc719c2016a80d13140c3fdaf75650fcbf9a4942e3d3e
EMO-018,情绪表演类,emotion_performance,RAVDESS,,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,9cc0452469277174a5889bd1b453e4cd58d5d8106fd4cf39d12571ad7f96fccd
MUS-020,音乐,music,FMA-small,https://github.com/mdeff/fma,Attribution,https://freemusicarchive.org/License_Guide,b082069f891e892189027a2db86b96058a24b8064ede81188d913bb2f96a7fc3
SFX-010,音效,sound_effect,Clotho validation / Freesound preview,https://freesound.org/people/ingolyrio/sounds/178013,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,f25495bf9040b23255ad757681f28d0503319b4cca81510ac9880a6a2007b9dc
SPK-016,角色对白、旁白,dialogue_narration,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,75d1d2ccda7dbe88221799b7a1de28b5c81e7c6e9d4b24a81625d948df6fce98
STM-V-004,人声、乐器单轨,vocal_stem,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,e99d4c040c0fc04c52702bee97c729590c09b4438bd8d11f39a2f192518b1c1d
