"DatasetID","ReviewerID","SourceID","Category","AudioFile","Status","SavedAt","VariantID","ModelName","PromptName","IsBaseline","BlindLabel","Rank"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-002","音效","/audio/SFX-002_simple_15s.wav","ranked","2026-09-14T09:41:37.078Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","A","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-006","角色对白、旁白","/audio/SPK-006_simple_15s.wav","ranked","2026-09-14T09:42:47.608Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-006","角色对白、旁白","/audio/SPK-006_simple_15s.wav","ranked","2026-09-14T09:42:47.608Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-006","角色对白、旁白","/audio/SPK-006_simple_15s.wav","ranked","2026-09-14T09:42:47.608Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-002","人声、乐器单轨","/audio/STM-I-002_simple_15s.wav","ranked","2026-09-14T09:44:31.673Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","A","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-002","人声、乐器单轨","/audio/STM-I-002_simple_15s.wav","ranked","2026-09-14T09:44:31.673Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-002","人声、乐器单轨","/audio/STM-I-002_simple_15s.wav","ranked","2026-09-14T09:44:31.673Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-011","动作表演","/audio/ACT-011_medium_15s.wav","ranked","2026-09-14T09:45:46.529Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","A","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-011","动作表演","/audio/ACT-011_medium_15s.wav","ranked","2026-09-14T09:45:46.529Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-011","动作表演","/audio/ACT-011_medium_15s.wav","ranked","2026-09-14T09:45:46.529Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","B","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-006","情绪表演类","/audio/EMO-006_simple_15s.wav","ranked","2026-09-14T09:47:31.771Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-006","情绪表演类","/audio/EMO-006_simple_15s.wav","ranked","2026-09-14T09:47:31.771Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-006","情绪表演类","/audio/EMO-006_simple_15s.wav","ranked","2026-09-14T09:47:31.771Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-011","音乐","/audio/MUS-011_medium_15s.wav","ranked","2026-09-14T09:49:43.400Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-011","音乐","/audio/MUS-011_medium_15s.wav","ranked","2026-09-14T09:49:43.400Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-011","音乐","/audio/MUS-011_medium_15s.wav","ranked","2026-09-14T09:49:43.400Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-004","音效","/audio/SFX-004_simple_15s.wav","ranked","2026-09-14T09:51:03.568Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-004","音效","/audio/SFX-004_simple_15s.wav","ranked","2026-09-14T09:51:03.568Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-004","音效","/audio/SFX-004_simple_15s.wav","ranked","2026-09-14T09:51:03.568Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-007","角色对白、旁白","/audio/SPK-007_simple_15s.wav","ranked","2026-09-14T09:51:46.655Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-007","角色对白、旁白","/audio/SPK-007_simple_15s.wav","ranked","2026-09-14T09:51:46.655Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SPK-007","角色对白、旁白","/audio/SPK-007_simple_15s.wav","ranked","2026-09-14T09:51:46.655Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-003","人声、乐器单轨","/audio/STM-I-003_medium_15s.wav","ranked","2026-09-14T09:52:03.483Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-003","人声、乐器单轨","/audio/STM-I-003_medium_15s.wav","ranked","2026-09-14T09:52:03.483Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","STM-I-003","人声、乐器单轨","/audio/STM-I-003_medium_15s.wav","ranked","2026-09-14T09:52:03.483Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-012","动作表演","/audio/ACT-012_medium_15s.wav","ranked","2026-09-14T09:52:34.729Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-012","动作表演","/audio/ACT-012_medium_15s.wav","ranked","2026-09-14T09:52:34.729Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-012","动作表演","/audio/ACT-012_medium_15s.wav","ranked","2026-09-14T09:52:34.729Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-011","情绪表演类","/audio/EMO-011_medium_15s.wav","ranked","2026-09-14T09:53:42.130Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","A","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-011","情绪表演类","/audio/EMO-011_medium_15s.wav","ranked","2026-09-14T09:53:42.130Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-011","情绪表演类","/audio/EMO-011_medium_15s.wav","ranked","2026-09-14T09:53:42.130Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-014","音乐","/audio/MUS-014_medium_15s.wav","ranked","2026-09-14T09:54:16.504Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-014","音乐","/audio/MUS-014_medium_15s.wav","ranked","2026-09-14T09:54:16.504Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-014","音乐","/audio/MUS-014_medium_15s.wav","ranked","2026-09-14T09:54:16.504Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","3"
